ATIVIDADE;ANO;INVESTIMENTO R$;INVESTIMENTO US$
Elevação Artificial - sistema submarino;2027;833445050,0;156867730,0
Elevação Artificial - sistema submarino;2028;178773293,8;35518540,0
Elevação Artificial - sistema submarino;2029;140504694,0;27549940,0
Escoamento - compressor - instalação;2025;50942924,0;9396340,0
Escoamento - compressor - instalação;2026;1118565000,0;200830000,0
Escoamento - compressor - instalação;2027;40100005,0;7290910,0
Escoamento - compressor - instalação;2028;52100015,0;9472730,0
Escoamento - compressor - instalação;2029;2999975,0;545450,0
Escoamento - gasoduto - lançamento;2025;460249406,8;90917240,0
Escoamento - gasoduto - lançamento;2026;5886962180,6;1127915820,0
Escoamento - gasoduto - lançamento;2027;1430054343,3;279140410,0
Escoamento - gasoduto - lançamento;2028;1467777300,6;300916230,0
Escoamento - gasoduto - lançamento;2029;1511139881,1;306052090,0
Escoamento - oleoduto - lançamento;2025;5400000,0;1080000,0
Escoamento - oleoduto - lançamento;2026;952300,0;190000,0
Escoamento - oleoduto - lançamento;2027;58391300,0;11990000,0
Escoamento - oleoduto - lançamento;2028;92977500,0;19250000,0
Levantamento de Sísmica 2D - Aquisição;2025;75425010,0;14357730,0
Levantamento de Sísmica 2D - Aquisição;2026;42968598,2;8715740,0
Levantamento de Sísmica 2D - Aquisição;2029;275402774,4;57495360,0
Levantamento de Sísmica 3D - Aquisição;2025;2669526559,6;532874760,0
Levantamento de Sísmica 3D - Aquisição;2026;2289841734,2;464470940,0
Levantamento de Sísmica 3D - Aquisição;2027;1421673581,2;291924760,0
Levantamento de Sísmica 3D - Aquisição;2028;1418453679,3;293675710,0
Levantamento de Sísmica 3D - Aquisição;2029;2751323597,4;574389060,0
Mudança de método de elevação artificial - poço;2025;196091678,4;38156060,0
Mudança de método de elevação artificial - poço;2026;130024734,6;25448120,0
Mudança de método de elevação artificial - poço;2027;167226470,2;32317510,0
Mudança de método de elevação artificial - poço;2028;45451507,5;9410250,0
Mudança de método de elevação artificial - poço;2029;42158791,9;8776610,0
Perfuração - exploratório;2025;464763988,0;83950700,0
Perfuração - exploratório;2026;132621131,6;22697760,0
Perfuração - exploratório;2027;293963352,8;53030560,0
Perfuração - exploratório;2028;223181608,8;40535840,0
Perfuração - exploratório;2029;59834275,0;10838050,0
Perfuração - injetor;2025;5742862946,2;1137953850,0
Perfuração - injetor;2026;5806535693,7;1145651690,0
Perfuração - injetor;2027;4544326941,4;924286470,0
Perfuração - injetor;2028;3857431640,2;788595240,0
Perfuração - injetor;2029;3492342619,6;726922570,0
Perfuração - outro;2025;138855215,0;22763150,0
Perfuração - outro;2026;759115590,1;148966570,0
Perfuração - outro;2027;6574500,0;1350000,0
Perfuração - produtor;2025;10181703281,5;1969184790,0
Perfuração - produtor;2026;10937291684,1;2150783451,66
Perfuração - produtor;2027;13061764612,0;2550770130,0
Perfuração - produtor;2028;9598256981,5;1910363530,0
Perfuração - produtor;2029;6784348843,4;1389800880,0
Recompletação para injeção;2025;415351106,6;81542580,0
Recompletação para injeção;2026;211329323,3;39677250,0
Recompletação para injeção;2027;274585680,3;52765260,0
Recompletação para injeção;2028;114154413,6;23135330,0
Recompletação para injeção;2029;118188367,5;23896750,0
Recompletação para outros fins;2025;62856902,0;12553130,0
Recompletação para outros fins;2026;39861490,7;8077990,0
Recompletação para outros fins;2027;1142000,0;200000,0
Recompletação para produção;2025;1755699625,6;342886100,0
Recompletação para produção;2026;1792818234,3;338845990,0
Recompletação para produção;2027;909505693,1;171956440,0
Recompletação para produção;2028;830385096,6;163368780,0
Recompletação para produção;2029;331051211,9;65808740,0
Recuperação Ambiental;2025;412117962,3;81552850,0
Recuperação Ambiental;2026;216900538,7;43765900,0
Recuperação Ambiental;2027;213265212,5;42389000,0
Recuperação Ambiental;2028;100972130,6;20790500,0
Recuperação Ambiental;2029;321516336,1;65430590,0
Remoção de instalações associadas à Unidades Produção Terrestres;2025;380203,0;74120,0
Remoção de instalações associadas à Unidades Produção Terrestres;2026;15224422,1;3084890,0
Remoção de instalações associadas à Unidades Produção Terrestres;2027;4700085,7;965110,0
Remoção de instalações associadas à Unidades Produção Terrestres;2028;71011,2;12480,0
Remoção de instalações associadas à Unidades Produção Terrestres;2029;7364162,7;1529000,0
Remoção dos Demais Equipamentos do Sistema Submarino;2025;96166998,8;17919710,0
