[SIGLA DA INSTALAÇÃO],[NOME DA INSTALAÇÃO],[CAMPOS],[BACIA],[OPERADOR],[CLASSIFICAÇÃO],[LÂMINA D'ÁGUA (m)],[SISTEMA DE ESCOAMENTO],[ANO DE INÍCIO DE OPERAÇÃO],[LATITUDE],[LONGITUDE],[CAPACIDADE DE PRODUÇÃO DE PETRÓLEO (bbl/d)],[CAPACIDADE DE PRODUÇÃO DE GÁS NATURAL (Mil m³/d)]
PCP-III,PLATAFORMA DE CARAPEBA 3,CARAPEBA,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,86,Duto,1994,-22.24496611,-40.44234222,,
PCP-I,PLATAFORMA DE CARAPEBA 1,CARAPEBA,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,86,Duto,1988,-22.24508639,-40.44303222,,
PCP-II,PLATAFORMA DE CARAPEBA 2,CARAPEBA,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,87,Duto,1988,-22.23357944,-40.41524500,,
PCE-1,PLATAFORMA DE ENCHOVA,BONITO / ENCHOVA / ENCHOVA OESTE,CAMPOS,TRIDENT ENERGY DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,116,Duto,1983,-22.70836167,-40.69321500,98121,3895
P-54,PETROBRAS 54,RONCADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1400,Navio Aliviador,2007,-21.96911389,-39.82530278,190000,4000
P-55,PETROBRAS 55,RONCADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1795,Duto,2014,-21.99321972,-39.73953889,180000,4000
P-62,PETROBRAS 62,RONCADOR,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,1580,Navio Aliviador,2014,-21.94083333,-39.78611111,180000,6000
PVM-1,PLATAFORMA DE VERMELHO 1,VERMELHO,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,80,Duto,1989,-22.16066028,-40.27871750,,
PVM-3,PLATAFORMA DE VERMELHO 3,VERMELHO,CAMPOS,PERENCO PETRÓLEO E GÁS DO BRASIL LTDA.,Plataforma Fixa - Jaqueta,82,Duto,1989,-22.18970500,-40.30321833,,
FPCIG,FPSO CIDADE DE ITAGUAÍ,TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2240,Navio Aliviador,2015,-25.14156917,-42.94469694,150955,8000
FPCMB,FPSO CIDADE DE MANGARATIBA,TUPI,SANTOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,2200,Navio Aliviador,2014,-25.20407778,-42.87856389,150955,8000
P-51,PETROBRAS 51,MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1260,Duto,2009,-22.63440278,-40.09363722,180000,6000
P-56,PETROBRAS 56,MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Semissubmersível - SS,1645,Duto,2011,-22.62404167,-39.98948333,141000,6000
FPANE,FPSO ANNA NERY,MARLIM / MARLIM SUL,CAMPOS,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Floating Production Storage Offloading - FPSO,927,Navio Aliviador e Duto,2023,-22.46391639,-40.05731667,70000,3792
