Referência (ABNT);Link/DOI;Tipo;Região/Bacia;Tipo de instalação;Estratégia;Variáveis oceanográficas;Impactos avaliados;Método;Principais achados (1);Principais achados (2);Principais achados (3);Limitações/Lacunas;Como entra no meu TCC;R1 Aderência (0-3);R2 Evidência (0-3);R3 Aplicabilidade (0-3);R4 Utilidade (0-3);Score total;Tags
Paiva, Pedro Mello et al. Decommissioning of subsea oil and gas production pipelines: hydrodynamic modeling for preliminary assessment of sediment resuspension and burial onto benthic organisms: Hydrodynamic modeling for preliminary assessment of sediment resuspension and burial onto benthic organisms. Journal of Integrated Coastal Zone Management, v. 20, n. 3, 2020.;;Artigo;;Subsea;Descomissionamento (geral);"Metaoceanografia/Hidrodinâmica; Sedimento/Leito marinho";"Bentos/Habitat; Sedimento/Ressuspensão";Modelagem;;;;;;;;;;;[EVI]
"dos Santos, Fábio Oliveira; Corraes. Vinícius David; da Hora. Henrique Rego Monteiro; Junior, v. Milton Erthal;, n. ABORDAGEM MULTICRITÉRIO PARA DESCOMISSIONAMENTO DE INSTALAÇÕES PETROLÍFERAS OFFSHORE NA BACIA DE CAMPOS.";;Artigo;;;;;;;;;;;;;;;;;[MET][CASE]
dos Santos, Fabio Oliveira et al. O Desafio de Descomissionar Instalações Petrolíferas Offshore da Bacia de Campos: Uma Abordagem Fuzzy AHP. VETOR-Revista de Ciências Exatas e Engenharias, v. 35, n. 2, p. e18380-e18380, 2025.;;Artigo;;;Descomissionamento (geral);;;;;;;;;;;;;;[MET][CASE]
"Albuquerque. William Sikorsky Medeiros; Battisaco. Arthur Azevedo; Lukin, v. Nikolas; Lobosco, n. Raquel J;, p. FAZENDAS DE GERAÇÃO EÓLICA OFFSHORE: UMA ALTERNATIVA PARA O DESCOMISSIONAMENTO DE PLATAFORMAS DE PETRÓLEO NA BACIA DE CAMPOS.";;Artigo;;;;;;;;;;;;;;;;;[MET][CASE]
Yellice, Semih. Towards a Decision Tool for Decommissioning of Sub Sea Assets of Oil-Gas Platforms in Brazil. 2018. Université de Liège, Liège, Belgique.;;Artigo;Brasil;Instalação Offshore (geral);Descomissionamento (geral);;;;;;;;;;;;;;
Caprace, Jean-David et al. A new multi-criteria decision-making tool for subsea oil and gas asset decommissioning. Journal of Offshore Mechanics and Arctic Engineering, v. 147, n. 5, p. 51401, 2025. American Society of Mechanical Engineers.;;Artigo;;Subsea;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Paiva, Pedro Mello et al. APLICAÇÃO DO SOFTWARE MOHID NA AVALIAÇÃO DE RISCO AMBIENTAL AOS CORAIS DE ÁGUAS PROFUNDAS PELO DESCOMISSIONAMENTO DE DUTOS SUBMARINOS NA BACIA DE CAMPOS. XXI Encontro Nacional de Modelagem Computacional e IX Encontro de Ciência e Tecnologia de Materiais, 2018.;;Artigo;;Subsea;Descomissionamento (geral);;"Ambiental (geral); Água (qualidade)";Modelagem;;;;;;;;;;;[EVI][CASE]
Reda, Ahmed et al. Guideline for the decommissioning/abandonment of subsea pipelines. Journal of Marine Science and Engineering, v. 12, n. 1, p. 8, 2023. MDPI.;;Artigo;;Subsea;Abandono/Encerramento;;;;;;;;;;;;;;
Anderson, JM. Decommissioning pipelines and subsea equipment: Legislative issues and decommissioning processes. Underwater Technology, v. 25, n. 2, p. 105-111, 2002. Society for Underwater Technology.;;Artigo;;Subsea;Descomissionamento (geral);;Água (qualidade);;;;;;;;;;;;
Rouse, Sally et al. Benthic conservation features and species associated with subsea pipelines: considerations for decommissioning. Frontiers in Marine Science, v. 6, p. 200, 2019. Frontiers Media SA.;;Artigo;;Subsea;Descomissionamento (geral);;Bentos/Habitat;;;;;;;;;;;;[EVI]
Rouse, Sally et al. Offshore pipeline decommissioning: scale and context. Marine pollution bulletin, v. 129, n. 1, p. 241-244, 2018. Elsevier.;;Artigo;;Linhas/Dutos/Risers;Descomissionamento (geral);;Contaminantes/Poluição;;;;;;;;;;;;[MET]
Michetti, V et al. The Key Drivers Determination for Offshore Plants Decommissioning and Abandonment Cost Estimate. SPE North Africa Technical Conference and Exhibition, p. SPE-127412-MS, 2010. SPE.;;Artigo (Conferência);África;;Abandono/Encerramento;;;;;;;;;;;;;;[MET]
Manouchehri, Soheil. Subsea pipelines and flowlines decommissioning: What we should know for a rational approach. International Conference on Offshore Mechanics and Arctic Engineering, v. 57700, p. V05BT04A009, 2017. American Society of Mechanical Engineers.;;Artigo (Conferência);;Subsea;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
"Du, Zunfeng; Zhu, Haiming. Decommissioning of Subsea Facilities. Encyclopedia of Ocean Engineering, p. 287-291, 2022. Springer.";;Capítulo/Livro;;Subsea;Descomissionamento (geral);;;;;;;;;;;;;;
Philip, Nishant Sasi et al. Decommissioning process for subsea pipelines. Abu Dhabi International Petroleum Exhibition and Conference, p. D021S035R005, 2014. SPE.;;Artigo (Conferência);;Subsea;Descomissionamento (geral);;;;;;;;;;;;;;
"Cox, Patrick; Gerrard, Simon. The Environmental Assessment of Southern North Sea Pipeline Decommissioning. CENTRE FOR ENVIRONMENTAL RISK REPORT, 2001.";;Artigo;Mar do Norte;Linhas/Dutos/Risers;Descomissionamento (geral);;Ambiental (geral);;;;;;;;;;;;[MET][EVI][CASE]
Silva, Priscila Reis da et al. Potential Environmental Impacts of Subsea System Installation and Decommissioning: A New Tool for Comparison of Locational and Technological Alternatives in the Oil & Gas Industry. Offshore Technology Conference Brasil, p. D011S003R003, 2019. OTC.;;Norma/Regulamento;Brasil;Subsea;Descomissionamento (geral);;Ambiental (geral);Norma/Regulatório;;;;;;;;;;;[DEF][MET][EVI]
Lourenço, Marcelo Igor et al. Enhancing Sustainability Using Multi-Criteria Decision Making in Subsea Decommissioning. Offshore Technology Conference, p. D031S039R001, 2024. OTC.;;Artigo (Conferência);;Subsea;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Fam, Mei Ling et al. Data learning and expert judgment in a Bayesian belief network for aiding human reliability assessment in offshore decommissioning risk assessment. Journal of Ocean Engineering and Science, v. 6, n. 2, p. 170-184, 2021. Elsevier.;;Artigo;;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
"Li, Yihong; Hu, Zhiqiang. MADM-Q, an efficient multi-attribute decision-making support system for offshore decommissioning. Ocean & Coastal Management, v. 243, p. 106732, 2023. Elsevier.";;Artigo;;;Descomissionamento (geral);;;;;;;;;;;;;;[MET]
Zhao, Leicheng et al. E-waste dismantling-related occupational and routine exposure to melamine and its derivatives: Estimating exposure via dust ingestion and hand-to-mouth contact. Environment international, v. 165, p. 107299, 2022. Elsevier.;;Artigo;;;;;Ambiental (geral);;;;;;;;;;;;[EVI]
Du, Zunfeng et al. Hazardous materials analysis and disposal procedures during ship recycling. Resources, Conservation and Recycling, v. 131, p. 158-171, 2018. Elsevier.;;Artigo;;;;;;;;;;;;;;;;;
"Hiremath, Anand M; Pandey, Sachin Kumar; Asolekar, Shyam R. Development of ship-specific recycling plan to improve health safety and environment in ship recycling yards. Journal of Cleaner Production, v. 116, p. 279-298, 2016. Elsevier.";;Artigo;;;;;Ambiental (geral);;;;;;;;;;;;[EVI]
